Hero1,Hero2,Combo Type,Synergy Score,Description
"Atlas","Odette","Ultimate Combo",95,"Atlas ultimate gathers enemies for Odette's Swan Song devastating AOE damage"
"Franco","Eudora","CC Chain",90,"Franco hook into Eudora stun and burst for instant kill"
"Tigreal","Gusion","Initiate-Burst",88,"Tigreal gathers enemies for Gusion to execute multiple targets"
"Johnson","Odette","Global Engage",92,"Johnson drives with Odette to surprise engage and wipe team"
"Angela","Fanny","Protect-Carry",85,"Angela shields and speeds up Fanny for safer assassinations"
"Angela","Miya","Protect-Carry",82,"Angela protects and heals Miya allowing her to free hit in teamfights"
"Diggie","Fanny","Anti-CC Support",87,"Diggie's ultimate gives Fanny CC immunity to dive safely"
"Lolita","Claude","Shield-Carry",80,"Lolita shields Claude from pokes and projectiles in teamfights"
"Khufra","Fanny","Counter",75,"Khufra disrupts Fanny's cable mobility and locks her down"
"Mathilda","Fanny","Mobility Boost",86,"Mathilda dashes with Fanny for faster rotations and kills"
"Estes","Uranus","Sustain",83,"Double regen creates unkillable frontline that outlasts enemies"
"Rafaela","Layla","Poke-Finish",78,"Rafaela slows and pokes for Layla to safely finish from distance"
"Carmilla","Cecilion","Link Damage",89,"Carmilla links enemies so Cecilion's poke hits multiple targets"
"Hylos","Valir","Push Combo",84,"Hylos charges enemies into Valir's pushback creating kill zone"
"Akai","Xavier","Roll-Burst",87,"Akai rolls enemies together for Xavier's penetrating burst damage"
"Tigreal","Cecilion","Gather-Poke",85,"Tigreal gathers for Cecilion to spam skills on grouped enemies"
"Minsi","Wanwan","Mark-Burst",82,"Minsi marks enemies for Wanwan to easily proc her ultimate"
"Baxia","Estes","Tank-Healer",81,"Baxia reduces healing + Estes sustain creates imbalanced teamfight"
"Grock","Hayabusa","Wall-Trap",79,"Grock walls trap enemies for Hayabusa to execute safely"
"Gatotkaca","Guinevere","Knock-Jump",88,"Gatotkaca knocks up for Guinevere to chain with her jump combo"
"Atlas","Pharsa","Freeze-Zone",86,"Atlas freezes enemies in Pharsa's ultimate damage zone"
"Khufra","Ling","Counter",76,"Khufra's S2 cancels Ling's wall mobility and locks him"
"Lolita","Pharsa","Shield-Zone",80,"Lolita blocks projectiles while Pharsa zones from backline"
"Diggie","Wanwan","Anti-CC Carry",84,"Diggie enables Wanwan to dive freely without fear of CC"
"Estes","Fredrinn","Sustain-Tank",83,"Estes heals Fredrinn making him nearly unkillable frontline"
"Franco","Selena","Hook-Arrow",91,"Franco hook into Selena stun arrow guarantees kill combo"
"Angela","Claude","Shield-Mobility",81,"Angela shields Claude during his ultimate for safe team wipe"
"Carmilla","Atlas","Link-Freeze",87,"Carmilla links then Atlas freezes causing shared CC duration"
"Mathilda","Gusion","Dash-Burst",85,"Mathilda enables Gusion to reach backline carries faster"
"Rafaela","Clint","Slow-Burst",79,"Rafaela slows enemies for Clint to land his burst combo"
